region,cost,costbenratio,totalben,costperperson,ncyclebefore,ncycleafter,type,change,per,length,ndrivebefore,ndriveafter,carkmbefore,carkmafter,carkm,absenteeismbenefit,healthdeathavoided,healthbenefit,qualitybenefit,accidentsbenefit,co2saved,ghgbenefit,congestionbenefit,geometry
Ashford,109047,1.22,133460,8174,103,116,Stepped Cycle Tracks,13,13,230.684,1668,1658,5350824,5329649,-21174.6,31200,0.00843855313017226,71500,0,2990,502.832365127511,270,27500,"{""type"":""MultiLineString"",""coordinates"":[[[0.88163,51.15811],[0.88152,51.15806]],[[0.88146,51.15811],[0.88158,51.15815]],[[0.88185,51.1582],[0.88163,51.15811]],[[0.88241,51.15841],[0.88185,51.1582]],[[0.88219,51.15864],[0.88172,51.15911]],[[0.88179,51.15825],[0.88234,51.15846]],[[0.88234,51.15846],[0.88219,51.15863]],[[0.88158,51.15815],[0.88179,51.15825]]]}"
Ashford,99688,1.51,150248,5899,142,159,Cycle Lanes,17,11.9,216.717,1929,1918,5449488,5426380,-23107.6,34300,0.00971706760984078,82400,0,3270,517.639115362462,278,30000,"{""type"":""MultiLineString"",""coordinates"":[[[0.88441,51.14564],[0.88487,51.14535]],[[0.88402,51.14586],[0.88441,51.14564]],[[0.88487,51.14535],[0.8861,51.14614]],[[0.8861,51.14614],[0.88618,51.14623]]]}"
Ashford,209492,3.33,697520,3651,50,107,Cycle Lane on Path,57,114.8,1496.41,1049,1004,4127347,4018822,-108526,166000,0.0441795846214484,374000,0,15300,2268.31269550766,1220,141000,"{""type"":""MultiLineString"",""coordinates"":[[[0.87965,51.12154],[0.87975,51.12155]],[[0.87975,51.12155],[0.87948,51.12693]],[[0.87948,51.12693],[0.87795,51.13067]],[[0.87795,51.13067],[0.8781,51.13076]],[[0.8781,51.13076],[0.87897,51.13218]],[[0.87897,51.13218],[0.87882,51.13343]],[[0.87882,51.13343],[0.87873,51.13348]],[[0.87873,51.13348],[0.87826,51.13377]],[[0.87826,51.13377],[0.87825,51.13384]],[[0.87825,51.13384],[0.87823,51.13393]]]}"
Ashford,147403,1.26,186123,7494,115,135,Cycle Lanes,20,17.1,320.443,1722,1708,4515390,4487813,-27577.3,44100,0.0120254147905998,102000,0,3900,601.254186730127,323,35800,"{""type"":""MultiLineString"",""coordinates"":[[[0.9054,51.14219],[0.905,51.14169]],[[0.90731,51.14217],[0.90553,51.14216]],[[0.90731,51.14217],[0.90782,51.14314]]]}"
Ashford,40592,5.63,228422,967,295,337,Cycle Lane on Path,42,14.2,340.356,3261,3238,10256729,10219322,-37406.8,44200,0.0152201840042078,130000,0,5290,802.863607179455,432,48500,"{""type"":""MultiLineString"",""coordinates"":[[[0.87115,51.14774],[0.87125,51.14771]],[[0.8716,51.14831],[0.87115,51.14774]],[[0.87103,51.14848],[0.8716,51.14831]],[[0.87103,51.14848],[0.87147,51.149]],[[0.87147,51.149],[0.87112,51.14912]],[[0.87147,51.149],[0.87173,51.1493]],[[0.87173,51.1493],[0.8719,51.14941]],[[0.87211,51.15002],[0.8719,51.14941]]]}"
Barnsley,146675,1.43,209358,9065,60,76,Cycle Lanes,16,27,318.861,2541,2529,8580330,8548898,-31432.6,50700,0.0133356593900258,113000,0,4440,777.464017290184,418,40800,"{""type"":""MultiLineString"",""coordinates"":[[[-1.45559,53.5813],[-1.45458,53.58241]],[[-1.45458,53.58241],[-1.45331,53.58325]],[[-1.45331,53.58325],[-1.45311,53.58336]],[[-1.45311,53.58336],[-1.45274,53.58356]]]}"
Barnstaple,330664,1.35,444756,10906,236,266,Stepped Cycle Tracks,30,12.8,524.401,3102,3082,12661071,12586747,-74323.7,113000,0.0261648481809476,224000,0,10500,1591.16722020518,856,96400,"{""type"":""MultiLineString"",""coordinates"":[[[-4.06116,51.07682],[-4.06105,51.07686]],[[-4.05939,51.07804],[-4.06078,51.07698]],[[-4.06105,51.07686],[-4.06078,51.07698]],[[-4.06078,51.07698],[-4.06086,51.07689]],[[-4.05936,51.07805],[-4.05939,51.07804]],[[-4.05934,51.07808],[-4.05936,51.07805]],[[-4.05802,51.07817],[-4.05774,51.07883]],[[-4.05877,51.07877],[-4.05879,51.07861]],[[-4.05872,51.0789],[-4.05877,51.07877]],[[-4.05863,51.07897],[-4.05872,51.0789]],[[-4.05827,51.07946],[-4.05863,51.07897]],[[-4.05879,51.07861],[-4.05865,51.07826]],[[-4.05816,51.07818],[-4.05802,51.07817]],[[-4.05891,51.07826],[-4.05934,51.07808]],[[-4.05832,51.07821],[-4.05816,51.07818]],[[-4.05847,51.07824],[-4.05832,51.07821]],[[-4.05865,51.07826],[-4.05848,51.07824]],[[-4.05891,51.07826],[-4.05865,51.07826]]]}"
Barnstaple,119389,2.07,247288,4594,235,261,Cycle Lanes,26,11.1,264.264,2919,2906,12439218,12398041,-41177,57600,0.0151516125203872,130000,0,5820,870.760484613746,468,53400,"{""type"":""MultiLineString"",""coordinates"":[[[-4.05774,51.07883],[-4.05703,51.07891]],[[-4.05703,51.07891],[-4.05699,51.07894]],[[-4.05699,51.07894],[-4.05682,51.07902]],[[-4.05682,51.07902],[-4.0567,51.07906]],[[-4.0567,51.07906],[-4.0566,51.0791]],[[-4.0566,51.0791],[-4.0565,51.07912]],[[-4.0565,51.07912],[-4.05636,51.07915]],[[-4.05643,51.07924],[-4.05636,51.07915]],[[-4.05562,51.07945],[-4.05603,51.07932]],[[-4.05603,51.07932],[-4.05643,51.07924]],[[-4.05559,51.07945],[-4.05562,51.07945]],[[-4.05559,51.07945],[-4.05553,51.07947]],[[-4.057,51.07984],[-4.05671,51.07956]],[[-4.05671,51.07956],[-4.05643,51.07924]]]}"
Barnstaple,167076,1.24,207374,11124,135,150,Cycle Lanes,15,11.1,363.212,1761,1751,7442317,7405836,-36481.8,53500,0.0117904797069977,101000,0,5160,770.660959148144,414,47300,"{""type"":""MultiLineString"",""coordinates"":[[[-4.0608,51.08565],[-4.06094,51.08566]],[[-4.05835,51.0863],[-4.0608,51.08565]],[[-4.05835,51.0863],[-4.05832,51.08646]],[[-4.05832,51.08646],[-4.05827,51.08676]],[[-4.05827,51.08676],[-4.05697,51.08725]]]}"
BarrowinFurness,340389,1.07,362725,5907,543,601,Cycle Lanes,58,10.6,719.573,5564,5531,14176156,14118583,-57573.5,78200,0.0236906149142721,201000,0,8140,1273.36520582478,685,74700,"{""type"":""MultiLineString"",""coordinates"":[[[-3.22309,54.11456],[-3.22295,54.11441]],[[-3.22324,54.11472],[-3.22309,54.11456]],[[-3.2234,54.11489],[-3.22324,54.11472]],[[-3.22359,54.11508],[-3.2234,54.11489]],[[-3.22374,54.11523],[-3.22359,54.11508]],[[-3.22391,54.1154],[-3.22374,54.11523]],[[-3.2241,54.11559],[-3.22391,54.1154]],[[-3.22778,54.11605],[-3.22783,54.11602]],[[-3.22445,54.11785],[-3.22563,54.11722]],[[-3.22563,54.11722],[-3.22534,54.11688]],[[-3.22534,54.11688],[-3.22499,54.11652]],[[-3.22563,54.11722],[-3.22778,54.11605]],[[-3.22407,54.11808],[-3.22445,54.11785]],[[-3.224,54.11812],[-3.22407,54.11808]],[[-3.22394,54.11815],[-3.224,54.11812]],[[-3.22378,54.11823],[-3.22394,54.11815]],[[-3.22499,54.11652],[-3.2241,54.11559]]]}"
Bristol,48362,9.28,449019,1722,282,310,Cycle Lanes,28,10,325.189,2992,2975,10991726,10935925,-55801.8,118000,0.0296106883334408,250000,0,7890,1355.8113866245,729,72400,"{""type"":""MultiLineString"",""coordinates"":[[[-2.53639,51.4588],[-2.53592,51.45928]],[[-2.53877,51.45921],[-2.54002,51.45938]],[[-2.53639,51.4588],[-2.53877,51.45921]]]}"
BarrowinFurness,262964,1.02,267402,6224,679,721,Cycle Lanes,42,6.2,571.681,4476,4451,10850800,10808280,-42519.7,58700,0.0172586659248875,147000,0,6010,915.245902722009,492,55200,"{""type"":""MultiLineString"",""coordinates"":[[[-3.21966,54.11088],[-3.21951,54.11064]],[[-3.2198,54.11109],[-3.21966,54.11088]],[[-3.2202,54.11154],[-3.2198,54.11109]],[[-3.22046,54.11181],[-3.2202,54.11154]],[[-3.22064,54.112],[-3.22046,54.11181]],[[-3.22155,54.11293],[-3.22137,54.11274]],[[-3.22172,54.11312],[-3.22155,54.11293]],[[-3.2211,54.11246],[-3.22064,54.112]],[[-3.22137,54.11274],[-3.2211,54.11246]],[[-3.2211,54.11246],[-3.21983,54.11289]],[[-3.22189,54.1133],[-3.22172,54.11312]],[[-3.22207,54.11348],[-3.22189,54.1133]],[[-3.22222,54.11364],[-3.22207,54.11348]],[[-3.22236,54.11378],[-3.22222,54.11364]],[[-3.22251,54.11394],[-3.22236,54.11378]],[[-3.22265,54.11409],[-3.22251,54.11394]],[[-3.2228,54.11425],[-3.22265,54.11409]],[[-3.22295,54.11441],[-3.2228,54.11425]]]}"
BarrowinFurness,8476,4.61,39089,744,112,123,Cycle Street,11,10.2,565.342,510,504,576181,569987,-6193.35,6400,0.0027819214316951,23700,0,876,137.261531702989,73,8040,"{""type"":""MultiLineString"",""coordinates"":[[[-3.22343,54.11904],[-3.22422,54.11851]],[[-3.22316,54.11923],[-3.22343,54.11904]],[[-3.22279,54.11986],[-3.22316,54.11923]],[[-3.22305,54.12002],[-3.22279,54.11986]],[[-3.22326,54.12016],[-3.22305,54.12002]],[[-3.22349,54.1203],[-3.22326,54.12016]],[[-3.22405,54.12065],[-3.22349,54.1203]],[[-3.22533,54.12144],[-3.22405,54.12065]],[[-3.22665,54.12227],[-3.22533,54.12144]]]}"
London,105864,4.38,464068,3574,259,289,Cycle Lanes,30,11.4,230.14,558,549,2601096,2572873,-28223,143000,0.0329372431942179,280000,0,3990,889.764953537532,478,36600,"{""type"":""MultiLineString"",""coordinates"":[[[-0.08393,51.45178],[-0.08459,51.4513]],[[-0.08329,51.45314],[-0.08393,51.45178]]]}"
Basingstoke,230282,1.17,268591,6677,282,316,Cycle Lanes,34,12.2,512.027,3871,3848,10933513,10889874,-43638.7,56300,0.0175009711445708,149000,0,6170,969.070928676263,521,56600,"{""type"":""MultiLineString"",""coordinates"":[[[-1.09357,51.27196],[-1.09361,51.27198]],[[-1.09361,51.27198],[-1.09442,51.27261]],[[-1.09442,51.27261],[-1.09453,51.2727]],[[-1.09453,51.2727],[-1.09509,51.27311]],[[-1.09524,51.27326],[-1.09509,51.27314]],[[-1.09531,51.27326],[-1.09557,51.27344]],[[-1.09557,51.27344],[-1.09711,51.27569]],[[-1.09509,51.27311],[-1.09511,51.27312]],[[-1.09511,51.27312],[-1.09531,51.27326]]]}"
Basingstoke,124885,1.19,148593,5451,105,128,Cycle Lanes,23,21.8,382.623,2077,2065,5899040,5875708,-23332,29700,0.0099779701434921,85000,0,3300,545.676789627786,293,30300,"{""type"":""MultiLineString"",""coordinates"":[[[-1.08872,51.26772],[-1.08853,51.26773]],[[-1.08395,51.26771],[-1.08328,51.26775]],[[-1.08853,51.26773],[-1.08714,51.26784]],[[-1.08451,51.26786],[-1.08402,51.2677]],[[-1.08695,51.26783],[-1.08672,51.26782]],[[-1.08545,51.26786],[-1.0852,51.26787]],[[-1.0852,51.26787],[-1.08451,51.26786]],[[-1.08672,51.26782],[-1.08612,51.26783]],[[-1.08714,51.26784],[-1.08695,51.26783]],[[-1.08612,51.26783],[-1.0855,51.26786]],[[-1.0855,51.26786],[-1.08545,51.26786]]]}"
Basingstoke,307864,1.07,330564,8885,137,172,Cycle Lanes,35,25.3,688.936,2782,2758,7136030,7085289,-50740.4,77000,0.0212348471070411,180000,0,7170,1105.04034899574,594,65800,"{""type"":""MultiLineString"",""coordinates"":[[[-1.08804,51.25145],[-1.08809,51.25126]],[[-1.08797,51.25166],[-1.08804,51.25145]],[[-1.08792,51.25178],[-1.08797,51.25166]],[[-1.08678,51.25386],[-1.08697,51.25357]],[[-1.08625,51.25484],[-1.08678,51.25386]],[[-1.08697,51.25357],[-1.08746,51.25276]],[[-1.08746,51.25276],[-1.08792,51.25178]],[[-1.08756,51.25277],[-1.08746,51.25276]],[[-1.08612,51.25506],[-1.08625,51.25484]],[[-1.08589,51.25544],[-1.08611,51.25506]],[[-1.08573,51.25572],[-1.08589,51.25544]],[[-1.08526,51.25673],[-1.08573,51.25572]],[[-1.08514,51.25701],[-1.08526,51.25673]],[[-1.08514,51.25701],[-1.08501,51.25702]]]}"
Basingstoke,167381,2.03,340420,3964,157,199,Cycle Street,42,26.9,472.958,4058,4035,12614398,12563956,-50441.9,75300,0.0226016591906387,192000,0,7130,1097.84104595357,590,65400,"{""type"":""MultiLineString"",""coordinates"":[[[-1.08061,51.26299],[-1.08057,51.26285]],[[-1.08065,51.26313],[-1.08061,51.26299]],[[-1.08073,51.26348],[-1.08065,51.26313]],[[-1.08139,51.26508],[-1.08073,51.26348]],[[-1.0822,51.26481],[-1.08206,51.26438]],[[-1.0822,51.26481],[-1.08139,51.26508]],[[-1.08156,51.26539],[-1.08139,51.26508]],[[-1.08182,51.26598],[-1.08156,51.26539]]]}"
Basingstoke,174656,1.56,272833,4825,191,227,Cycle Lanes,36,19,379.695,3418,3394,8698258,8654910,-43347.7,60000,0.0176358011168839,150000,0,6130,936.241915922056,503,56200,"{""type"":""MultiLineString"",""coordinates"":[[[-1.07745,51.27317],[-1.07757,51.27303]],[[-1.07736,51.2733],[-1.07745,51.27317]],[[-1.07712,51.27361],[-1.07736,51.2733]],[[-1.0769,51.27395],[-1.07712,51.27361]],[[-1.0766,51.27441],[-1.0769,51.27395]],[[-1.0766,51.27441],[-1.07719,51.27454]],[[-1.0764,51.27477],[-1.0766,51.27441]],[[-1.07623,51.27508],[-1.0764,51.27477]],[[-1.07594,51.27559],[-1.07623,51.27508]],[[-1.07583,51.27579],[-1.07594,51.27559]],[[-1.0758,51.27584],[-1.07583,51.27579]]]}"
Basingstoke,4232,46.4,196361,210,91,111,Cycle Street,20,22.1,282.371,2016,2002,5028016,4998234,-29782.1,46200,0.0126837634931044,107000,0,4210,653.232503171257,351,38600,"{""type"":""MultiLineString"",""coordinates"":[[[-1.08498,51.25746],[-1.08498,51.25766]],[[-1.08498,51.25766],[-1.08489,51.25817]],[[-1.08488,51.25817],[-1.0848,51.25874]],[[-1.0848,51.25874],[-1.08472,51.25916]],[[-1.08472,51.25916],[-1.08464,51.25961]],[[-1.08464,51.25961],[-1.08446,51.25997]]]}"
Bath,3110,29.48,91679,169,193,211,Cycle Street,18,9.5,207.51,858,853,3411176,3396497,-14678.7,14300,0.00651639066764214,56100,0,2080,369.603144538787,199,19000,"{""type"":""MultiLineString"",""coordinates"":[[[-2.35675,51.38348],[-2.35713,51.38333]],[[-2.35675,51.38348],[-2.35643,51.38366]],[[-2.35643,51.38366],[-2.35636,51.38372]],[[-2.35636,51.38372],[-2.35626,51.38372]],[[-2.35626,51.38372],[-2.35534,51.38401]],[[-2.35463,51.3843],[-2.35534,51.38401]]]}"
Basingstoke,80774,2.13,171877,2286,107,142,Cycle Lanes,35,33,350.006,2071,2053,4685487,4658208,-27279.4,31300,0.0118595797117236,101000,0,3860,588.80598322907,317,35400,"{""type"":""MultiLineString"",""coordinates"":[[[-1.08418,51.26145],[-1.08424,51.26088]],[[-1.08417,51.26173],[-1.08418,51.26145]],[[-1.08415,51.26198],[-1.08417,51.26173]],[[-1.08412,51.26239],[-1.08415,51.26198]],[[-1.08417,51.26315],[-1.08412,51.26239]],[[-1.08418,51.26327],[-1.08417,51.26315]],[[-1.08434,51.26401],[-1.08418,51.26327]]]}"
Basingstoke,162442,1.03,166884,8916,112,130,Cycle Lanes,18,16.3,353.14,1615,1602,4599495,4572153,-27342.2,35000,0.0108595898336349,92200,0,3870,584.310036270421,314,35500,"{""type"":""MultiLineString"",""coordinates"":[[[-1.0994,51.27193],[-1.09865,51.27211]],[[-1.09865,51.27211],[-1.09684,51.27234]],[[-1.09684,51.27234],[-1.09479,51.2726]],[[-1.09479,51.2726],[-1.0946,51.27265]],[[-1.0946,51.27265],[-1.09453,51.2727]]]}"
Bath,7808,69.62,543566,312,185,210,Cycle Street,25,13.5,520.917,1188,1173,6698320,6627611,-70708.2,153000,0.0338153667462565,288000,0,10000,1609.59909928715,866,91700,"{""type"":""MultiLineString"",""coordinates"":[[[-2.46393,51.40371],[-2.46339,51.40397]],[[-2.46339,51.40397],[-2.46317,51.40403]],[[-2.46317,51.40403],[-2.46273,51.40411]],[[-2.46273,51.40411],[-2.46211,51.40419]],[[-2.46211,51.40419],[-2.46193,51.40421]],[[-2.45744,51.40431],[-2.45678,51.40419]],[[-2.46066,51.40433],[-2.4599,51.40437]],[[-2.45894,51.40446],[-2.45744,51.40431]],[[-2.4599,51.40437],[-2.45914,51.40444]],[[-2.45914,51.40444],[-2.45894,51.40446]],[[-2.46193,51.40421],[-2.46162,51.40425]],[[-2.46162,51.40425],[-2.46066,51.40433]]]}"
Bath,7417,73.65,546270,309,165,189,Cycle Street,24,14.6,494.97,1012,997,6100555,6028702,-71853,153000,0.034015921524226,289000,0,10200,1618.70008429417,870,93200,"{""type"":""MultiLineString"",""coordinates"":[[[-2.45678,51.40419],[-2.45671,51.40419]],[[-2.45671,51.40419],[-2.4562,51.40427]],[[-2.4562,51.40427],[-2.45547,51.40435]],[[-2.45547,51.40435],[-2.45524,51.40438]],[[-2.45524,51.40438],[-2.45467,51.40446]],[[-2.45467,51.40446],[-2.45325,51.40481]],[[-2.45325,51.40481],[-2.45314,51.40483]],[[-2.45314,51.40483],[-2.45159,51.40522]],[[-2.45159,51.40522],[-2.45061,51.4055]],[[-2.45061,51.4055],[-2.4502,51.4056]],[[-2.4501,51.40565],[-2.4502,51.4056]]]}"
Bath,95823,2.89,276847,1479,480,545,Cycle Lanes,65,13.5,452.44,2701,2686,12402018,12356866,-45152.7,31300,0.0207667805913492,180000,0,6380,1054.18341560362,567,58600,"{""type"":""MultiLineString"",""coordinates"":[[[-2.36099,51.38253],[-2.3607,51.38259]],[[-2.3607,51.38259],[-2.36038,51.38266]],[[-2.36038,51.38266],[-2.36015,51.3827]],[[-2.36015,51.3827],[-2.36008,51.38272]],[[-2.35901,51.38274],[-2.35854,51.38285]],[[-2.35916,51.38273],[-2.35901,51.38274]],[[-2.35928,51.38278],[-2.35916,51.38273]],[[-2.36008,51.38272],[-2.35929,51.38281]],[[-2.35929,51.38281],[-2.35928,51.38278]],[[-2.35937,51.38302],[-2.35929,51.38281]],[[-2.36114,51.38319],[-2.36101,51.38309]],[[-2.36127,51.38334],[-2.3612,51.38325]],[[-2.35974,51.3834],[-2.35982,51.38345]],[[-2.35954,51.38328],[-2.35974,51.3834]],[[-2.35982,51.38345],[-2.35993,51.38352]],[[-2.35993,51.38352],[-2.36008,51.38372]],[[-2.3612,51.38325],[-2.36114,51.38319]],[[-2.35946,51.38323],[-2.35954,51.38328]],[[-2.36052,51.38304],[-2.35981,51.38309]],[[-2.36101,51.38309],[-2.36052,51.38304]],[[-2.35946,51.38323],[-2.35937,51.38302]],[[-2.35981,51.38309],[-2.35954,51.38328]]]}"
Bath,154769,1.83,282736,7605,139,159,Cycle Lanes,20,14.6,596.604,1707,1696,8318019,8278169,-39850.1,77900,0.0172359991482189,147000,0,5630,940.788115788596,506,51700,"{""type"":""MultiLineString"",""coordinates"":[[[-2.39426,51.38243],[-2.3946,51.38242]],[[-2.39379,51.3825],[-2.39426,51.38243]],[[-2.39264,51.38275],[-2.39379,51.3825]],[[-2.39176,51.38284],[-2.39264,51.38275]],[[-2.38977,51.38281],[-2.39081,51.38282]],[[-2.38862,51.38351],[-2.38861,51.38318]],[[-2.38861,51.38373],[-2.38862,51.38351]],[[-2.38865,51.38435],[-2.38861,51.38373]],[[-2.38856,51.38284],[-2.38977,51.38281]],[[-2.39081,51.38282],[-2.39176,51.38284]],[[-2.38861,51.38318],[-2.38856,51.38284]]]}"
Bath,56516,3.75,212006,1588,403,439,Cycle Lanes,36,8.8,279.701,2171,2161,10083694,10051900,-31794.4,33900,0.0153587887216027,132000,0,4500,754.919248992157,406,41200,"{""type"":""MultiLineString"",""coordinates"":[[[-2.36235,51.38222],[-2.3618,51.38234]],[[-2.36128,51.38246],[-2.36099,51.38253]],[[-2.36184,51.3824],[-2.3618,51.38234]],[[-2.3618,51.38234],[-2.36131,51.38246]],[[-2.36131,51.38246],[-2.36128,51.38246]],[[-2.36192,51.3826],[-2.36184,51.3824]],[[-2.36187,51.38261],[-2.36192,51.3826]],[[-2.36188,51.38265],[-2.36187,51.38261]],[[-2.36199,51.38293],[-2.36189,51.38268]],[[-2.3621,51.38323],[-2.36199,51.38293]],[[-2.36213,51.38327],[-2.3621,51.38323]],[[-2.3624,51.38391],[-2.36213,51.38327]]]}"
Bath,64556,1.28,82904,4698,147,161,Cycle Street,14,9.3,383.004,1153,1148,5012964,4998836,-14127.7,13100,0.00575669640951334,49300,0,2000,378.781168436925,204,18300,"{""type"":""MultiLineString"",""coordinates"":[[[-2.36652,51.37419],[-2.36636,51.37445]],[[-2.36636,51.37445],[-2.36568,51.37557]],[[-2.36568,51.37557],[-2.36473,51.37583]],[[-2.36473,51.37583],[-2.36458,51.37585]],[[-2.36458,51.37585],[-2.36464,51.37611]],[[-2.36464,51.37611],[-2.3652,51.37651]],[[-2.36576,51.37643],[-2.3652,51.37651]]]}"
Bath,220770,1.12,246476,24834,71,80,Cycle Lanes,9,12.5,479.947,483,477,3472688,3439042,-33646.1,74600,0.0143587567468804,123000,0,4760,772.786400618627,416,43700,"{""type"":""MultiLineString"",""coordinates"":[[[-2.3957,51.38259],[-2.39522,51.3825]],[[-2.39576,51.3826],[-2.3957,51.38259]],[[-2.39629,51.38275],[-2.39576,51.3826]],[[-2.39676,51.38288],[-2.39629,51.38275]],[[-2.39688,51.38292],[-2.39676,51.38288]],[[-2.39749,51.38311],[-2.39688,51.38292]],[[-2.39806,51.3833],[-2.39749,51.38311]],[[-2.3986,51.38356],[-2.39806,51.3833]],[[-2.39887,51.38377],[-2.3986,51.38356]],[[-2.3991,51.38402],[-2.39887,51.38377]],[[-2.39945,51.3844],[-2.3991,51.38402]],[[-2.4,51.3849],[-2.39945,51.3844]],[[-2.40017,51.38521],[-2.4,51.3849]]]}"
Bath,65402,1.42,93001,1374,210,258,Cycle Street,48,22.7,584.977,907,896,2450027,2430491,-19536.1,-16700,0.00926377831706598,81400,0,2760,448.308995744661,241,25300,"{""type"":""MultiLineString"",""coordinates"":[[[-2.3743,51.38048],[-2.37396,51.3808]],[[-2.37381,51.38103],[-2.37396,51.3808]],[[-2.37086,51.38114],[-2.37079,51.38117]],[[-2.37105,51.38106],[-2.37086,51.38114]],[[-2.37114,51.38099],[-2.37105,51.38106]],[[-2.37179,51.38092],[-2.37114,51.38099]],[[-2.3736,51.38094],[-2.37301,51.38092]],[[-2.3736,51.38094],[-2.37381,51.38103]],[[-2.37301,51.38092],[-2.37291,51.38103]],[[-2.37311,51.38144],[-2.37244,51.38117]],[[-2.37078,51.38117],[-2.37028,51.38136]],[[-2.37009,51.38133],[-2.36934,51.38136]],[[-2.36934,51.38136],[-2.36924,51.38138]],[[-2.36893,51.38156],[-2.36879,51.38197]],[[-2.36902,51.38203],[-2.36879,51.38197]],[[-2.36924,51.38138],[-2.36904,51.38143]],[[-2.36904,51.38143],[-2.36893,51.38156]],[[-2.37012,51.38133],[-2.37009,51.38133]],[[-2.37027,51.38136],[-2.37012,51.38133]],[[-2.37291,51.38103],[-2.37244,51.38117]],[[-2.37244,51.38117],[-2.37179,51.38092]]]}"
Bedford,180920,1.34,241581,6728,187,214,Cycle Lanes,27,14.4,518.547,1900,1882,5382405,5342970,-39435.1,53300,0.0155012952032699,131000,0,5580,931.192039189223,501,51200,"{""type"":""MultiLineString"",""coordinates"":[[[-0.48541,52.1315],[-0.48533,52.13154]],[[-0.48532,52.13154],[-0.48489,52.13176]],[[-0.48489,52.13176],[-0.48409,52.13209]],[[-0.48409,52.13209],[-0.48398,52.13213]],[[-0.48398,52.13213],[-0.48332,52.13241]],[[-0.48332,52.13241],[-0.4831,52.1325]],[[-0.4831,52.1325],[-0.48254,52.13274]],[[-0.48254,52.13274],[-0.48232,52.13282]],[[-0.48232,52.13282],[-0.48165,52.13312]],[[-0.48165,52.13312],[-0.48073,52.13349]],[[-0.48147,52.13456],[-0.48073,52.13349]]]}"
Bedford,194946,1.34,261436,4995,317,356,Cycle Street,39,12.3,722.929,2429,2408,6781399,6742234,-39165.2,54600,0.0176572707854024,150000,0,5540,923.002171115956,496,50800,"{""type"":""MultiLineString"",""coordinates"":[[[-0.47429,52.13556],[-0.474,52.13526]],[[-0.47429,52.13556],[-0.47464,52.13597]],[[-0.47464,52.13597],[-0.47537,52.13684]],[[-0.4744,52.13717],[-0.47388,52.13733]],[[-0.47537,52.13684],[-0.4744,52.13717]],[[-0.47388,52.13733],[-0.47363,52.13757]],[[-0.47613,52.13755],[-0.47611,52.13747]],[[-0.47633,52.13745],[-0.47611,52.13747]],[[-0.47704,52.13936],[-0.47631,52.13804]],[[-0.47631,52.13804],[-0.47613,52.13755]],[[-0.47705,52.13734],[-0.47633,52.13745]],[[-0.47537,52.13684],[-0.47583,52.13737]],[[-0.47611,52.13747],[-0.47583,52.13737]]]}"
Bedford,287952,1.6,460740,6925,299,341,Cycle Lanes,42,13.9,668.533,3504,3474,11754471,11683621,-70850,111000,0.0291642043353381,247000,0,10000,1562.79123256279,840,91900,"{""type"":""MultiLineString"",""coordinates"":[[[-0.49878,52.11005],[-0.49812,52.11082]],[[-0.49812,52.11082],[-0.49779,52.11164]],[[-0.49779,52.11164],[-0.49762,52.11209]],[[-0.49762,52.11209],[-0.49726,52.11275]],[[-0.49726,52.11275],[-0.4972,52.11287]],[[-0.4972,52.11287],[-0.49687,52.11353]],[[-0.49687,52.11353],[-0.49688,52.11369]],[[-0.49688,52.11369],[-0.49705,52.11395]],[[-0.49709,52.11401],[-0.49731,52.11414]],[[-0.49705,52.11395],[-0.49709,52.11401]],[[-0.49577,52.1149],[-0.49705,52.11417]],[[-0.49567,52.11499],[-0.49577,52.1149]],[[-0.49705,52.11417],[-0.49709,52.11401]],[[-0.49731,52.11414],[-0.49705,52.11417]]]}"
Bedford,275631,1.06,292378,9417,153,182,Cycle Lanes,29,19.1,599.206,1638,1620,5237644,5193466,-44177.6,66300,0.0191147911184741,162000,0,6250,981.22113010516,528,57300,"{""type"":""MultiLineString"",""coordinates"":[[[-0.46154,52.13577],[-0.46134,52.13485]],[[-0.45836,52.13596],[-0.45568,52.13611]],[[-0.46171,52.1366],[-0.46154,52.13577]],[[-0.46154,52.13577],[-0.46005,52.13586]],[[-0.46005,52.13586],[-0.45836,52.13596]]]}"
Reading,96442,1.06,102322,9176,96,107,Cycle Lanes,11,10.9,209.66,885,879,2251134,2238021,-13112.8,24500,0.00694828574580164,58800,0,1850,319.205107178468,172,17000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.96753,51.42763],[-0.9671,51.42676]],[[-0.9679,51.42857],[-0.96753,51.42763]]]}"
Bideford,115572,2.12,244938,6727,67,84,Cycle Lanes,17,25.6,251.246,2023,2011,8880757,8840625,-40131.9,60700,0.0147705313606665,126000,0,5670,870.815625165421,468,52100,"{""type"":""MultiLineString"",""coordinates"":[[[-4.20141,51.01608],[-4.20177,51.01617]],[[-4.20177,51.01617],[-4.2047,51.01676]],[[-4.2047,51.01676],[-4.20482,51.01678]]]}"
