region,cost,costbenratio,totalben,costperperson,ncyclebefore,ncycleafter,type,change,per,length,ndrivebefore,ndriveafter,carkmbefore,carkmafter,carkm,absenteeismbenefit,healthdeathavoided,healthbenefit,qualitybenefit,accidentsbenefit,co2saved,ghgbenefit,congestionbenefit,geometry
Hull,11126,42.29,470537,241,294,340,Cycle Street,46,15.7,741.951,2236,2209,8449658,8381025,-68633.3,110000,0.0308294464522928,261000,0,9700,1556.87643038289,837,89000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.3568,53.7558],[-0.35716,53.75569]],[[-0.35459,53.75645],[-0.35679,53.7558]],[[-0.35288,53.75696],[-0.35282,53.75633]],[[-0.35288,53.75696],[-0.35459,53.75645]],[[-0.35325,53.75798],[-0.3565,53.75711]],[[-0.35325,53.75798],[-0.35287,53.75752]],[[-0.35287,53.75752],[-0.35288,53.75696]]]}"
Hull,417404,1.78,741490,8407,135,185,Cycle Lanes,50,36.8,852.958,1802,1770,7064382,6963495,-100887,189000,0.0479603226821609,406000,0,14300,2219.43623915886,1190,131000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.32804,53.79696],[-0.32759,53.79681]],[[-0.32829,53.79704],[-0.32804,53.79696]],[[-0.32845,53.79747],[-0.32829,53.79704]],[[-0.32845,53.79747],[-0.3283,53.79789]],[[-0.3283,53.79789],[-0.32827,53.79807]],[[-0.32827,53.79807],[-0.32866,53.7988]],[[-0.32866,53.7988],[-0.32923,53.79939]],[[-0.33538,53.7989],[-0.33098,53.79971]],[[-0.33098,53.79971],[-0.33045,53.79996]],[[-0.32947,53.80012],[-0.3292,53.79982]],[[-0.3292,53.79982],[-0.32925,53.79971]],[[-0.3299,53.80019],[-0.32947,53.80012]],[[-0.33045,53.79996],[-0.33037,53.80008]],[[-0.33037,53.80008],[-0.3299,53.80019]],[[-0.32925,53.79971],[-0.32923,53.79939]]]}"
Hull,14345,20.86,299203,415,216,251,Cycle Street,35,16,957.059,1296,1275,3907790,3860932,-46858.1,66200,0.019490064228875,165000,0,6620,1084.29977322605,583,60800,"{""type"":""MultiLineString"",""coordinates"":[[[-0.37235,53.7622],[-0.36854,53.76219]],[[-0.37235,53.7622],[-0.37302,53.76227]],[[-0.36854,53.76219],[-0.36717,53.76254]],[[-0.36717,53.76254],[-0.36667,53.76272]],[[-0.35987,53.76262],[-0.35879,53.76259]],[[-0.36047,53.76262],[-0.35987,53.76262]],[[-0.36106,53.76265],[-0.36047,53.76262]],[[-0.36111,53.76265],[-0.36106,53.76265]],[[-0.36163,53.76269],[-0.36111,53.76265]],[[-0.36167,53.76269],[-0.36163,53.76269]],[[-0.36667,53.76272],[-0.36623,53.7628]],[[-0.36317,53.76277],[-0.3628,53.76275]],[[-0.36337,53.76277],[-0.36317,53.76277]],[[-0.36556,53.7628],[-0.36476,53.7628]],[[-0.36394,53.76278],[-0.36337,53.76277]],[[-0.36476,53.7628],[-0.36394,53.76278]],[[-0.36222,53.76273],[-0.36167,53.76269]],[[-0.3624,53.76274],[-0.36222,53.76273]],[[-0.3628,53.76275],[-0.3624,53.76274]],[[-0.36623,53.7628],[-0.36556,53.7628]]]}"
Hull,64994,5.7,370491,2132,354,384,Cycle Lanes,30,8.6,203.534,3508,3489,12323468,12269484,-53983.8,91200,0.0236917560380913,201000,0,7630,1229.70866170493,661,70000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.35819,53.75011],[-0.35967,53.74991]],[[-0.35813,53.7507],[-0.35819,53.75011]],[[-0.35809,53.75103],[-0.35813,53.7507]]]}"
Hull,14811,41.5,614650,293,168,219,Cycle Street,51,30.1,987.681,1123,1090,3730098,3640745,-89352.7,149000,0.0397269373243667,336000,0,12600,1957.19611356478,1050,116000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.37003,53.75482],[-0.37371,53.75451]],[[-0.37003,53.75482],[-0.36863,53.75492]],[[-0.36863,53.75492],[-0.36544,53.75518]],[[-0.36544,53.75518],[-0.36515,53.75521]],[[-0.36501,53.75522],[-0.35904,53.7556]],[[-0.36515,53.75521],[-0.36501,53.75522]]]}"
Hull,205698,2.48,510515,4816,336,379,Cycle Street,43,12.7,456.049,2605,2581,8778255,8710343,-67912.9,125000,0.0338931709824764,287000,0,9600,1515.73079339755,815,88100,"{""type"":""MultiLineString"",""coordinates"":[[[-0.34052,53.74942],[-0.34033,53.74901]],[[-0.34058,53.74954],[-0.34052,53.74942]],[[-0.34269,53.75],[-0.34329,53.7499]],[[-0.34001,53.75118],[-0.34063,53.75022]],[[-0.34063,53.75022],[-0.34058,53.74954]],[[-0.34184,53.75015],[-0.34269,53.75]],[[-0.34063,53.75022],[-0.34184,53.75015]]]}"
Hull,390208,1.03,403394,11301,271,306,Cycle Street,35,12.7,1025.47,2401,2381,7807401,7754738,-52662.5,100000,0.0267829540293166,227000,0,7450,1198.02843058408,644,68300,"{""type"":""MultiLineString"",""coordinates"":[[[-0.37306,53.74202],[-0.37224,53.74224]],[[-0.37287,53.74328],[-0.37224,53.74224]],[[-0.37319,53.74382],[-0.37288,53.74328]],[[-0.37329,53.74409],[-0.37319,53.74382]],[[-0.37359,53.74483],[-0.37329,53.74409]],[[-0.37413,53.74616],[-0.37359,53.74483]],[[-0.3745,53.74704],[-0.37413,53.74616]],[[-0.37478,53.74768],[-0.3745,53.74704]],[[-0.37491,53.74801],[-0.37478,53.74768]],[[-0.37493,53.74804],[-0.37491,53.74801]],[[-0.37544,53.74939],[-0.37493,53.74804]],[[-0.37566,53.74994],[-0.37544,53.74939]],[[-0.37582,53.75064],[-0.37566,53.74994]]]}"
Hull,294657,1.6,471363,7488,268,307,Cycle Lanes,39,14.7,640.566,1365,1340,4283340,4219015,-64325.9,117000,0.0308916763408474,261000,0,9090,1437.13573097182,773,83500,"{""type"":""MultiLineString"",""coordinates"":[[[-0.32833,53.75921],[-0.33201,53.75943]],[[-0.33201,53.75943],[-0.33216,53.76073]],[[-0.32957,53.76062],[-0.32852,53.76057]],[[-0.33216,53.76073],[-0.32957,53.76062]]]}"
Hull,6895,64.64,445677,200,190,224,Cycle Street,34,18.1,459.73,1987,1967,7277820,7217361,-60458.9,111000,0.0291463804998775,247000,0,8550,1352.77537837149,727,78400,"{""type"":""MultiLineString"",""coordinates"":[[[-0.35929,53.74646],[-0.35638,53.74654]],[[-0.35638,53.74654],[-0.35232,53.74659]]]}"
Hull,239597,1.07,256447,7582,233,265,Cycle Lanes,32,13.6,1014.04,1656,1638,7089576,7045655,-43920.5,56700,0.0160302851769956,136000,0,6210,999.344080911013,537,57000,"{""type"":""MultiLineString"",""coordinates"":[[[-0.41953,53.84248],[-0.41928,53.8419]],[[-0.41961,53.84265],[-0.41953,53.84248]],[[-0.42004,53.84336],[-0.41961,53.84265]],[[-0.42032,53.84364],[-0.42004,53.84336]],[[-0.42121,53.84429],[-0.42032,53.84364]],[[-0.42133,53.84435],[-0.42121,53.84429]],[[-0.42213,53.84479],[-0.42133,53.84435]],[[-0.42244,53.84496],[-0.42213,53.84479]],[[-0.42284,53.84519],[-0.42244,53.84496]],[[-0.42321,53.8457],[-0.42284,53.84519]],[[-0.42322,53.84577],[-0.42321,53.8457]],[[-0.42373,53.84575],[-0.42322,53.84577]],[[-0.42423,53.84681],[-0.42373,53.84575]],[[-0.42564,53.84661],[-0.42435,53.8468]],[[-0.42559,53.84778],[-0.42423,53.84681]],[[-0.42435,53.8468],[-0.42423,53.84681]],[[-0.42621,53.84791],[-0.42559,53.84778]],[[-0.42686,53.84809],[-0.42621,53.84791]]]}"
