recommended,geometry
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.09405,51.54141],[-0.09412,51.54145]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.09412,51.54145],[-0.09417,51.54148]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.06186,51.54162],[-0.06179,51.5414]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.06925,51.49159],[0.06868,51.49171]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.08498,51.48985],[0.08494,51.48989]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.10492,51.49857],[0.10482,51.49848]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.10488,51.49857],[0.10482,51.49848]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.03594,51.53329],[-0.03592,51.53325]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.18145,51.48009],[-0.1816,51.48014]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.1816,51.48014],[-0.18209,51.48035]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.1821,51.48035],[-0.18261,51.48063]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.18261,51.48063],[-0.18276,51.48074]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02297,51.48086],[-0.02173,51.48089]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02319,51.48075],[-0.02453,51.48108]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02453,51.48108],[-0.02543,51.48131]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03118,51.4805],[-0.0309,51.48057]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.0309,51.48057],[-0.03084,51.48059]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03084,51.48059],[-0.03075,51.4806]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03044,51.48062],[-0.03014,51.48064]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.0313,51.48044],[-0.03118,51.4805]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.06179,51.5414],[-0.06157,51.54059]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.08592,51.52037],[-0.08729,51.52048]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.06395,51.52366],[-0.06396,51.52381]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.06396,51.52381],[-0.06397,51.52392]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.06395,51.52366],[-0.06399,51.52352]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.06332,51.5237],[-0.06348,51.5232]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.06348,51.5232],[-0.06377,51.52195]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.06035,51.52389],[-0.06036,51.52401]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.13795,51.43045],[-0.13766,51.43041]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.13876,51.43052],[-0.13795,51.43045]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0326,51.47584],[-0.03279,51.47572]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03198,51.4758],[-0.0326,51.47584]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02982,51.47555],[-0.0305,51.47563]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02982,51.47555],[-0.02875,51.47533]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03387,51.56712],[-0.03405,51.56701]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03546,51.56645],[-0.03529,51.56652]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03387,51.56712],[-0.03381,51.56715]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03381,51.56715],[-0.03371,51.56719]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03117,51.5682],[-0.03037,51.56846]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03037,51.56846],[-0.02957,51.56873]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02957,51.56873],[-0.0292,51.56886]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0292,51.56886],[-0.02824,51.56919]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03445,51.56581],[-0.03323,51.56524]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03323,51.56524],[-0.03162,51.56438]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03162,51.56438],[-0.03066,51.5638]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03066,51.5638],[-0.02894,51.56285]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.02894,51.56285],[-0.02776,51.56243]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.02776,51.56243],[-0.01647,51.55764]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03445,51.56581],[-0.03476,51.56602]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02427,51.56996],[-0.0243,51.56998]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0243,51.56998],[-0.02448,51.57014]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.02409,51.50847],[-0.02403,51.50789]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02413,51.47456],[-0.02457,51.47464]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02457,51.47464],[-0.02551,51.47484]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.02513,51.47482],[-0.02403,51.4747]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.02513,51.47482],[-0.0239,51.47486]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.07108,51.48207],[0.07049,51.4821]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.07048,51.4821],[0.06992,51.48215]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.01193,51.42793],[-0.01089,51.42725]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.01193,51.42793],[-0.01216,51.42802]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.01216,51.42802],[-0.01316,51.42854]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.14672,51.4892],[-0.14694,51.48906]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.14565,51.48697],[-0.1457,51.48631]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.1457,51.48631],[-0.14539,51.48622]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.10928,51.38787],[0.10911,51.38758]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.10911,51.38758],[0.10844,51.38642]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.10844,51.38642],[0.10779,51.38534]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.09791,51.46904],[0.09902,51.46903]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.09902,51.46903],[0.09936,51.469]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.0629,51.48848],[0.06354,51.4871]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.1119,51.39476],[0.11185,51.39434]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.11185,51.39434],[0.11165,51.39364]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.11165,51.39364],[0.11151,51.39326]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.11151,51.39326],[0.11125,51.3926]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.11125,51.3926],[0.1111,51.39222]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.12614,51.52906],[-0.12743,51.52855]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.05003,51.54858],[-0.04957,51.54873]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.05461,51.54457],[-0.05534,51.54444]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.2533,51.44418],[0.25359,51.44424]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.25359,51.44424],[0.25433,51.4444]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.25433,51.4444],[0.25456,51.44445]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.25456,51.44445],[0.25693,51.44515]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.25693,51.44515],[0.2585,51.44545]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.2585,51.44545],[0.25932,51.44558]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.25932,51.44558],[0.26028,51.44573]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.26028,51.44573],[0.26247,51.4462]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.26333,51.44633],[0.26402,51.44642]]}"
Segregated Cycle Track,"{""type"":""LineString"",""coordinates"":[[0.26402,51.44642],[0.26439,51.44646]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.04377,51.49315],[-0.04374,51.49319]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05217,51.45078],[0.05265,51.45077]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05265,51.45077],[0.05304,51.45076]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05304,51.45076],[0.05338,51.45075]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05338,51.45075],[0.05403,51.45073]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05403,51.45073],[0.05429,51.45071]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05429,51.45071],[0.05454,51.45071]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05454,51.45071],[0.05518,51.4507]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05518,51.4507],[0.0558,51.45073]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.0558,51.45073],[0.05611,51.45075]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05611,51.45075],[0.05631,51.45077]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05631,51.45077],[0.05681,51.45075]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05681,51.45075],[0.05685,51.45075]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05685,51.45075],[0.05688,51.45075]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.05688,51.45075],[0.05699,51.45075]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.03201,51.45286],[0.03224,51.45288]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.03224,51.45288],[0.03361,51.45295]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.0112,51.45728],[0.01147,51.45692]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.01147,51.45692],[0.01154,51.4566]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[0.01112,51.45739],[0.0112,51.45728]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.0096,51.45672],[0.00973,51.45665]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.00973,51.45665],[0.01109,51.4566]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.01109,51.4566],[0.01154,51.4566]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.10246,51.48553],[0.10222,51.4856]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.10222,51.4856],[0.1015,51.48569]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.07201,51.58455],[-0.0719,51.58488]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0719,51.58488],[-0.0718,51.58521]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0718,51.58521],[-0.07171,51.58557]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.07171,51.58557],[-0.07164,51.58581]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.07164,51.58581],[-0.07138,51.58651]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.07239,51.57567],[-0.07245,51.57578]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.07245,51.57578],[-0.07257,51.57615]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.01592,51.5834],[-0.01578,51.58321]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.01578,51.58321],[-0.01558,51.58292]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.01558,51.58292],[-0.01528,51.58248]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.01528,51.58248],[-0.0152,51.58235]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.0152,51.58235],[-0.01483,51.58181]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.0072,51.58305],[-0.00738,51.58353]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.00738,51.58353],[-0.0074,51.58368]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.0074,51.58368],[-0.00742,51.58379]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.00742,51.58379],[-0.00751,51.5843]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.00751,51.5843],[-0.00762,51.58464]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.00762,51.58464],[-0.0077,51.58484]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.0077,51.58484],[-0.00774,51.5849]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.00774,51.5849],[-0.00787,51.5851]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.00494,51.6006],[-0.00512,51.60041]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.00512,51.60041],[-0.00534,51.60036]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.0055,51.60035],[-0.00534,51.60036]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.00194,51.4587],[-0.00193,51.45854]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.00193,51.45854],[-0.00191,51.45825]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[0.00206,51.45367],[0.00217,51.45362]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.02997,51.47538],[0.03051,51.47533]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.03051,51.47533],[0.03333,51.47492]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.03333,51.47492],[0.03378,51.47485]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.03378,51.47485],[0.03428,51.47477]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.03428,51.47477],[0.03526,51.47463]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.03526,51.47463],[0.0356,51.47458]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.01293,51.45818],[-0.01283,51.45834]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.01283,51.45834],[-0.0122,51.4591]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.02861,51.58399],[-0.02851,51.58351]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.02867,51.58418],[-0.02861,51.58399]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.19104,51.54759],[-0.19106,51.54749]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.19106,51.54749],[-0.19107,51.54736]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.19107,51.54736],[-0.19108,51.54727]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.19108,51.54727],[-0.19109,51.547]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.19109,51.547],[-0.1911,51.54691]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.24957,51.55369],[-0.24918,51.55311]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.24918,51.55311],[-0.24883,51.55258]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.24969,51.55425],[-0.24966,51.55418]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.24966,51.55418],[-0.24965,51.55413]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.24965,51.55413],[-0.24957,51.55369]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.24868,51.55826],[-0.24823,51.55797]]}"
Cycle Lane on Path,"{""type"":""LineString"",""coordinates"":[[-0.03978,51.48221],[-0.03981,51.48227]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.11268,51.42324],[-0.11253,51.42322]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.11253,51.42322],[-0.11197,51.42319]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.11197,51.42319],[-0.11131,51.42316]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.11131,51.42316],[-0.11112,51.42314]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.11112,51.42314],[-0.11016,51.42314]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.11015,51.42314],[-0.10879,51.42307]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10879,51.42307],[-0.10832,51.42296]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10832,51.42296],[-0.10774,51.42284]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10774,51.42284],[-0.10695,51.4227]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10695,51.4227],[-0.10655,51.42264]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10655,51.42264],[-0.10588,51.42256]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.0472,51.45138],[0.04499,51.45164]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.04499,51.45164],[0.04491,51.45165]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.04491,51.45165],[0.04457,51.45171]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.04457,51.45171],[0.04356,51.45199]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.04356,51.45199],[0.041,51.45251]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.041,51.45251],[0.0374,51.45283]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.24421,51.55472],[-0.24389,51.55416]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.24389,51.55416],[-0.24357,51.55318]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.08145,51.49971],[-0.08277,51.49981]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.22589,51.54187],[-0.22583,51.54125]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.22583,51.54125],[-0.22579,51.54113]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.22579,51.54113],[-0.22467,51.5398]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.22467,51.5398],[-0.22405,51.53921]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.22405,51.53921],[-0.22337,51.53863]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.22337,51.53863],[-0.22262,51.53795]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.22262,51.53795],[-0.22186,51.53731]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.20969,51.54072],[-0.20999,51.54096]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.20999,51.54096],[-0.21013,51.54109]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.21013,51.54109],[-0.21041,51.54131]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.21041,51.54131],[-0.21064,51.54149]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.21521,51.53718],[-0.21478,51.53692]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.21478,51.53692],[-0.21409,51.53651]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.21953,51.53474],[-0.21931,51.53448]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.21931,51.53448],[-0.21905,51.53417]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.21905,51.53417],[-0.21899,51.53409]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.2204,51.52971],[-0.22025,51.53019]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.21732,51.53178],[-0.21723,51.53166]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.21723,51.53166],[-0.21707,51.53144]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.21707,51.53144],[-0.21676,51.53099]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.22256,51.56345],[-0.22294,51.56376]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.22294,51.56376],[-0.22349,51.56423]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.22349,51.56423],[-0.22387,51.56456]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.16207,51.517],[-0.16243,51.51785]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.14828,51.51266],[-0.14686,51.51294]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.14686,51.51294],[-0.14676,51.51296]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.14676,51.51296],[-0.14661,51.51299]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.14661,51.51299],[-0.1465,51.51301]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.1465,51.51301],[-0.14612,51.51309]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.14612,51.51309],[-0.14587,51.51314]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.14587,51.51314],[-0.14543,51.51323]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.12708,51.51197],[-0.12692,51.51191]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.23924,51.47525],[-0.23908,51.47584]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.2244,51.49307],[-0.22394,51.49346]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.2244,51.49307],[-0.22373,51.49312]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.13054,51.45864],[0.13135,51.4585]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.13135,51.4585],[0.13187,51.45842]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.1015,51.48569],[0.09957,51.48578]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.09957,51.48578],[0.0987,51.48599]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.0987,51.48599],[0.09762,51.48629]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.09762,51.48629],[0.09722,51.48639]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.09722,51.48639],[0.09659,51.48653]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.09659,51.48653],[0.09551,51.48679]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.09551,51.48679],[0.09505,51.48691]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.09505,51.48691],[0.09463,51.48699]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[0.09463,51.48699],[0.09382,51.48713]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03534,51.5141],[-0.03526,51.51411]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03526,51.51411],[-0.03411,51.51422]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03664,51.51258],[-0.03626,51.51257]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03626,51.51257],[-0.03616,51.51256]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03616,51.51256],[-0.0358,51.51254]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0358,51.51254],[-0.03562,51.51254]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03562,51.51254],[-0.03515,51.51252]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03515,51.51252],[-0.03452,51.51249]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03452,51.51249],[-0.034,51.51247]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.034,51.51246],[-0.03371,51.51245]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03371,51.51245],[-0.03362,51.51245]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.03755,51.50976],[-0.03764,51.50977]]}"
