recommended,geometry
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.05612,51.54022],[-0.05649,51.5402]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.08589,51.54197],[-0.08487,51.54177]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10581,51.53068],[-0.10578,51.53063]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10574,51.53056],[-0.10534,51.53009]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10534,51.53009],[-0.10523,51.52996]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.11024,51.52899],[-0.1101,51.52864]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.1101,51.52864],[-0.11007,51.52852]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.11007,51.52852],[-0.11003,51.52841]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.11003,51.52841],[-0.10986,51.52804]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03566,51.54512],[-0.03574,51.54515]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03334,51.54484],[-0.03348,51.54462]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.04192,51.54616],[-0.04201,51.54665]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.04201,51.54665],[-0.04199,51.54687]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03665,51.5463],[-0.03641,51.5461]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03641,51.5461],[-0.03613,51.54588]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03613,51.54588],[-0.03588,51.5456]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03588,51.5456],[-0.03576,51.54538]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.03709,51.54705],[-0.03702,51.54689]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.04994,51.54087],[-0.04987,51.5408]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.10983,51.52801],[-0.10924,51.52756]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.10924,51.52756],[-0.1086,51.52703]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.10574,51.53056],[-0.10598,51.53051]]}"
