name,region,width,geometry
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.57686,51.3318],[0.57668,51.33198]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.57668,51.33198],[0.57686,51.3318]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.57668,51.3317],[0.5764,51.33198]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.57668,51.33198],[0.57659,51.33206]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.57653,51.33157],[0.57622,51.33189]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.57568,51.33069],[0.57559,51.3308]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56956,51.35159],[0.5693,51.35136]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56712,51.34917],[0.56666,51.34982]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.55443,51.35898],[0.55454,51.35888]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.54033,51.37372],[0.54021,51.37361]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.54021,51.37361],[0.54038,51.37354]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.54021,51.37361],[0.54011,51.37364]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.53061,51.37891],[0.53118,51.3787]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.5285,51.37892],[0.52811,51.37858]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.52811,51.37858],[0.52771,51.37832]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.52811,51.37858],[0.53012,51.37839]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52563,51.37708],[0.52628,51.37689]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52583,51.37754],[0.52617,51.37744]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52523,51.37743],[0.5255,51.37735]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52484,51.37695],[0.52518,51.37685]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52431,51.37618],[0.52471,51.37608]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52487,51.37582],[0.52529,51.37571]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51987,51.36808],[0.52056,51.36807]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52056,51.36807],[0.52043,51.36823]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.52055,51.36783],[0.52056,51.36807]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51444,51.35923],[0.51445,51.35901]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.50889,51.34262],[0.50923,51.34283]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.50923,51.34283],[0.50928,51.34296]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.50928,51.34296],[0.50934,51.34311]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.50934,51.34311],[0.50939,51.34324]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.50883,51.34332],[0.50939,51.34324]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.50939,51.34324],[0.50958,51.34322]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.50934,51.34311],[0.50955,51.34308]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.50928,51.34296],[0.50952,51.34294]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.50923,51.34283],[0.50948,51.34281]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.50292,51.33609],[0.50232,51.33365]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51204,51.31447],[0.51189,51.31426]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5061,51.31233],[0.50396,51.31452]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51547,51.29369],[0.51435,51.29433]]}"
,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.51852,51.27583],[0.51884,51.27593]]}"
,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.51884,51.27593],[0.51882,51.27596]]}"
,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.51884,51.27593],[0.5189,51.27594]]}"
,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.5189,51.27594],[0.51914,51.27599]]}"
,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.51914,51.27599],[0.51935,51.27603]]}"
,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.5189,51.27594],[0.51899,51.27575]]}"
,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.51914,51.27599],[0.51922,51.27584]]}"
,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.51922,51.27584],[0.51925,51.27578]]}"
,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.51945,51.27588],[0.51922,51.27584]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.51783,51.27245],[0.51792,51.27249]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51818,51.26904],[0.51864,51.2688]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51864,51.2688],[0.51884,51.26887]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51884,51.26887],[0.519,51.26899]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.519,51.26899],[0.51878,51.26923]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5192,51.26937],[0.51919,51.26905]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51919,51.26905],[0.519,51.26899]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51899,51.2693],[0.51919,51.26905]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51859,51.26917],[0.51884,51.26887]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51838,51.2691],[0.51864,51.2688]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5177,51.26888],[0.51821,51.26828]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51499,51.26807],[0.51558,51.26843]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51602,51.26851],[0.51566,51.26837]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.51436,51.26757],[0.51573,51.26833]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51484,51.26798],[0.51426,51.26763]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51324,51.26719],[0.51394,51.26752]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51394,51.26752],[0.51418,51.26767]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51408,51.26727],[0.51394,51.26752]]}"
